"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"1","Caravaggio","caravaggio","Boy Peeling Fruit","1593","474","559","0.26","https://uploads8.wikiart.org/00340/images/caravaggio/boy-peeling-fruit.jpg","0001_Boy_Peeling_Fruit_474x559.jpg","56229"
"2","Caravaggio","caravaggio","Boy with a Basket of Fruit","1593","863","900","0.78","https://uploads7.wikiart.org/00339/images/caravaggio/boy-with-a-basket-of-fruit.jpg","0002_Boy_with_a_Basket_of_Fruit_863x900.jpg","211582"
"3","Caravaggio","caravaggio","Young Sick Bacchus","1593","2311","3009","6.95","https://uploads7.wikiart.org/00142/images/57726d7cedc2cb3880b47b1a/self-portrait-as-the-sick-bacchus-by-caravaggio.jpg","0003_Young_Sick_Bacchus_2311x3009.jpg","2221628"
"4","Caravaggio","caravaggio","Cardsharps","1594","4501","3239","14.58","https://uploads8.wikiart.org/00129/images/caravaggio/cardsharps.jpg","0004_Cardsharps_4501x3239.jpg","4396058"
"5","Caravaggio","caravaggio","Musicians","1595","1200","912","1.09","https://uploads4.wikiart.org/00340/images/caravaggio/les-musiciens.jpg","0005_Musicians_1200x912.jpg","323809"
"6","Caravaggio","caravaggio","Saint Francis of Assisi in Ecstasy","1595","1089","776","0.85","https://uploads1.wikiart.org/images/caravaggio/saint-francis-of-assisi-in-ecstasy(1).jpg","0006_Saint_Francis_of_Assisi_in_Ecstasy_1089x776.jpg","115181"
"7","Caravaggio","caravaggio","Bacchus","1596","694","800","0.56","https://uploads1.wikiart.org/images/caravaggio/bacchus(1).jpg","0007_Bacchus_694x800.jpg","116307"
"8","Caravaggio","caravaggio","Basket of Fruit","1596","2532","2003","5.07","https://uploads6.wikiart.org/images/caravaggio/basket-of-fruit.jpg","0008_Basket_of_Fruit_2532x2003.jpg","1351477"
"9","Caravaggio","caravaggio","Boy Bitten by a Lizard","1596","3144","4226","13.29","https://uploads2.wikiart.org/00142/images/57726d7cedc2cb3880b47b1a/caravaggio-boy-bitten-by-a-lizard.jpg","0009_Boy_Bitten_by_a_Lizard_3144x4226.jpg","5418790"
"10","Caravaggio","caravaggio","The Lute Player","1596","1536","1200","1.84","https://uploads8.wikiart.org/00340/images/caravaggio/the-lute-player-2.jpg","0010_The_Lute_Player_1536x1200.jpg","476451"
"11","Caravaggio","caravaggio","A lute player","1596","356","470","0.17","https://uploads8.wikiart.org/00340/images/caravaggio/the-lute-player-1.jpg","0011_A_lute_player_356x470.jpg","50926"
"12","Caravaggio","caravaggio","Jupiter, Neptune and Pluto","1597","667","1320","0.88","https://uploads1.wikiart.org/images/caravaggio/jupiter-neptune-and-pluto(1).jpg","0012_Jupiter,_Neptune_and_Pluto_667x1320.jpg","187259"
"13","Caravaggio","caravaggio","Medusa","1597","3369","3453","11.63","https://uploads5.wikiart.org/00142/images/57726d7cedc2cb3880b47b1a/caravaggio-medusa-google-art-project.jpg","0013_Medusa_3369x3453.jpg","3629664"
"14","Caravaggio","caravaggio","Penitent Magdalene","1597","474","579","0.27","https://uploads1.wikiart.org/00340/images/caravaggio/penitent-magadalene.jpg","0014_Penitent_Magdalene_474x579.jpg","64085"
"15","Caravaggio","caravaggio","Portrait of a Courtesan","1597","466","599","0.28","https://uploads8.wikiart.org/images/caravaggio/portrait-of-a-courtesan(2).jpg","0015_Portrait_of_a_Courtesan_466x599.jpg","81006"
"16","Caravaggio","caravaggio","Rest on the Flight into Egypt","1597","1103","897","0.99","https://uploads0.wikiart.org/00129/images/caravaggio/rest-on-the-flight-into-egypt.jpg","0016_Rest_on_the_Flight_into_Egypt_1103x897.jpg","930407"
"17","Caravaggio","caravaggio","The lute player","1597","645","900","0.58","https://uploads2.wikiart.org/00340/images/caravaggio/the-lute-player-1597.jpg","0017_The_lute_player_645x900.jpg","118407"
"18","Caravaggio","caravaggio","Portrait of Maffeo Barberini","1597","1126","1400","1.58","https://uploads3.wikiart.org/images/caravaggio/portrait-of-maffeo-barberini-1.jpg","0018_Portrait_of_Maffeo_Barberini_1126x1400.jpg","1565483"
"19","Caravaggio","caravaggio","John the Baptist","1598","382","577","0.22","https://uploads1.wikiart.org/images/caravaggio/john-the-baptist(1).jpg","0019_John_the_Baptist_382x577.jpg","95342"
"20","Caravaggio","caravaggio","Martha and Mary Magdalene","1598","1440","1048","1.51","https://uploads5.wikiart.org/00129/images/caravaggio/martha-and-mary-magdalene.jpg","0020_Martha_and_Mary_Magdalene_1440x1048.jpg","1771312"
"21","Caravaggio","caravaggio","Sacrifice of Isaac","1598","9449","6496","61.38","https://uploads0.wikiart.org/00340/images/caravaggio/sacrifice-of-isaac.jpg","0021_Sacrifice_of_Isaac_9449x6496.jpg","7956094"
"22","Caravaggio","caravaggio","Portrait of Maffeo Barberini","1598","667","900","0.6","https://uploads4.wikiart.org/images/caravaggio/portrait-of-maffeo-barberini(1).jpg","0022_Portrait_of_Maffeo_Barberini_667x900.jpg","83892"
"23","Caravaggio","caravaggio","Saint Catherine of Alexandria","1598","930","1198","1.11","https://uploads2.wikiart.org/00340/images/caravaggio/saint-catherine-of-alexandria.jpg","0023_Saint_Catherine_of_Alexandria_930x1198.jpg","358419"
"24","Caravaggio","caravaggio","David and Goliath","1599","2362","2664","6.29","https://uploads6.wikiart.org/00129/images/caravaggio/david-and-goliath.jpg","0024_David_and_Goliath_2362x2664.jpg","7293726"
"25","Caravaggio","caravaggio","Narcissus","1599","400","484","0.19","https://uploads0.wikiart.org/00340/images/caravaggio/narcissus.jpg","0025_Narcissus_400x484.jpg","82274"
"26","Caravaggio","caravaggio","The Fortune Teller","1599","1099","808","0.89","https://uploads8.wikiart.org/images/caravaggio/the-fortune-teller-1599(1).jpg","0026_The_Fortune_Teller_1099x808.jpg","741433"
